brand,model,year,price,transmission,mileage,fuelType,tax,engineSize,co2_emissions,make_label,model_label,fuel_type_label,transmission_label
Ford, Kuga,2017,16000,Manual,28529,Diesel,145,2.0,124.4935543,2,98,0,1
BMW, 2 Series,2019,29975,Semi-Auto,8027,Petrol,145,3.0,176.9633508,1,1,4,3
Volkswagen, Golf,2019,19190,Automatic,3144,Petrol,145,1.5,143.5244161,8,74,4,0
Volkswagen, Golf,2018,19500,Automatic,21911,Diesel,145,2.0,117.1577123,8,74,0,0
Ford, Focus,2012,6995,Manual,48734,Diesel,125,2.0,119.6460177,2,60,0,1
Audi, A5,2015,14498,Semi-Auto,24848,Diesel,125,2.0,114.770798,0,13,0,3
Hyundai, Ioniq,2019,21995,Automatic,10200,Hybrid,135,1.6,86.11464968,3,89,2,0
Audi, A3,2019,18830,Manual,9640,Petrol,145,1.5,157.9439252,0,11,4,1
Vauxhall, Mokka X,2019,12499,Manual,12258,Petrol,145,1.4,172.4489796,7,108,4,1
Vauxhall, Corsa,2016,7799,Manual,29888,Petrol,30,1.4,124.4935543,7,51,4,1
Audi, A6,2018,21950,Automatic,26265,Diesel,150,2.0,110.0977199,0,14,0,0
Audi, Q2,2017,16295,Manual,29741,Petrol,125,1.4,129.2543021,0,117,4,1
Audi, A6,2015,15495,Manual,51234,Diesel,30,2.0,107.6433121,0,14,0,1
Ford, Fiesta,2018,10679,Manual,9820,Petrol,150,1.0,114.770798,2,59,4,1
Mercedes-Benz, C Class,2019,25980,Semi-Auto,11395,Petrol,145,1.5,146.0043197,4,32,4,3
